"track_name","energy","loudness","liveness","valence","speechiness","danceability","count","track_artist"
"Takeaway (feat. Lennon Stella)",0.505,-8.106,0.0977,0.357,0.042,0.294,8,"The Chainsmokers"
"Call You Mine",0.702,-5.59,0.414,0.501,0.0289,0.591,7,"The Chainsmokers"
"Roses",0.802,-7.055,0.309,0.343,0.0561,0.713,7,"The Chainsmokers"
"Roses",0.802,-7.055,0.309,0.343,0.0561,0.713,7,"The Chainsmokers"
"Roses",0.808,-7.652,0.225,0.309,0.0473,0.718,7,"The Chainsmokers"
"Call You Mine",0.702,-5.59,0.414,0.501,0.0289,0.591,7,"The Chainsmokers"
"Roses",0.802,-7.055,0.309,0.343,0.0561,0.713,7,"The Chainsmokers"
"Roses",0.802,-7.055,0.309,0.343,0.0561,0.713,7,"The Chainsmokers"
"Call You Mine",0.702,-5.59,0.414,0.501,0.0289,0.591,7,"The Chainsmokers"
"Call You Mine",0.702,-5.59,0.414,0.501,0.0289,0.591,7,"The Chainsmokers"
"Call You Mine",0.702,-5.59,0.414,0.501,0.0289,0.591,7,"The Chainsmokers"
"Roses",0.802,-7.055,0.309,0.343,0.0561,0.713,7,"The Chainsmokers"
"Call You Mine",0.702,-5.59,0.414,0.501,0.0289,0.591,7,"The Chainsmokers"
"Roses",0.802,-7.055,0.309,0.343,0.0561,0.713,7,"The Chainsmokers"
"Call You Mine",0.702,-5.59,0.414,0.501,0.0289,0.591,7,"The Chainsmokers"
"Don't Let Me Down",0.869,-5.094,0.136,0.422,0.172,0.532,6,"The Chainsmokers"
"Don't Let Me Down",0.869,-5.094,0.136,0.422,0.172,0.532,6,"The Chainsmokers"
"Don't Let Me Down",0.869,-5.094,0.136,0.422,0.172,0.532,6,"The Chainsmokers"
"Don't Let Me Down",0.869,-5.094,0.136,0.422,0.172,0.532,6,"The Chainsmokers"
"Don't Let Me Down",0.869,-5.094,0.136,0.422,0.172,0.532,6,"The Chainsmokers"
"Don't Let Me Down",0.869,-5.094,0.136,0.422,0.172,0.532,6,"The Chainsmokers"
"Something Just Like This",0.635,-6.769,0.164,0.446,0.0317,0.617,5,"The Chainsmokers"
"Family",0.607,-6.605,0.101,0.374,0.0356,0.584,5,"The Chainsmokers"
"Something Just Like This",0.649,-6.695,0.174,0.505,0.0362,0.607,5,"The Chainsmokers"
"Something Just Like This",0.649,-6.695,0.174,0.505,0.0362,0.607,5,"The Chainsmokers"
"Something Just Like This",0.635,-6.769,0.164,0.446,0.0317,0.617,5,"The Chainsmokers"
"Family",0.607,-6.605,0.101,0.374,0.0356,0.584,5,"The Chainsmokers"
"Family",0.607,-6.605,0.101,0.374,0.0356,0.584,5,"The Chainsmokers"
"Family",0.607,-6.605,0.101,0.374,0.0356,0.584,5,"The Chainsmokers"
